type,rd_percentage,pause,bandwidth_mean,bandwidth_std,bandwidth_min,bandwidth_max,rd_mapped_mean,latency_mean,latency_std,latency_min,latency_max,bandwidth_smooth,latency_smooth
DDR5-4800,100,0,32.75858326873855,0.0008097576101245127,32.75801068364132,32.759155853835786,0.9996161701352434,703.68244291525,0.024721171844409286,703.664962407,703.6999234235001,32.75471548950786,700.8012184362398
DDR5-4800,100,5,32.73270326881654,0.0007529245291819533,32.73217087077624,32.73323566685685,0.9996197384391114,682.992431186,0.14496256608930816,682.8899271725,683.0949351995,32.73941331326817,683.9087275455038
DDR5-4800,100,10,32.72320909483449,0.0007040459411763165,32.72271125917522,32.72370693049376,0.9996226339476333,660.63243339925,0.06009605392084675,660.589939072,660.6749277265,32.72181179305484,663.9035196379712
DDR5-4800,100,15,32.704250236976634,0.0004848500386443527,32.703907396226455,32.70459307772682,0.9996196511743188,639.5848656895,0.08496680784085414,639.5247850835,639.6449462955001,32.70274187364372,641.6012093088208
DDR5-4800,100,20,32.67753902986818,0.0008652625850112696,32.67692719682681,32.67815086290955,0.9996091684921303,612.31741229125,0.13083384180645147,612.2248987945,612.409925788,32.683034499810645,617.8174111532317
DDR5-4800,100,25,32.669276401019886,0.0003081164898091913,32.66905852976054,32.66949427227922,0.9996195595448432,597.3874504135,0.024750462682054823,597.3699491935,597.4049516335,32.66352061633159,593.3677397663846
DDR5-4800,100,30,32.649669328765206,0.00039811300863798097,32.64938782035712,32.64995083717329,0.9996228778424734,579.71993992125,0.04241545979765182,579.689947662,579.7499321805001,32.64539588406875,568.7931300790079
DDR5-4800,100,35,32.630664618311876,0.00017333990169154692,32.63054204849194,32.63078718813181,0.9996177579477402,557.9023984984999,0.02482911275517903,557.8848416645,557.9199553325,32.63326608527939,554.3165460881559
DDR5-4800,100,40,32.6014034920648,7.444335095808275e-05,32.60135085266652,32.601456131463074,0.999619063343639,503.32743718175,0.03894340711005691,503.29990003449996,503.354974329,32.61952401960638,531.6046983899222
DDR5-4800,100,45,32.60892495584219,0.0008627335036226722,32.60831491113142,32.60953500055296,0.9996147269828393,500.4299522455,0.007063666525153309,500.424957479,500.43494701199995,32.60584180052153,504.288614590953
DDR5-4800,100,50,32.59884701654412,1.788833104612231e-05,32.59883436758393,32.59885966550431,0.9996092290684925,497.304148704,0.0321966492271724,497.281382235,497.32691517300003,32.59038494168631,474.305729850211
DDR5-4800,100,55,32.6024642066928,0.000684739077641445,32.60198002304766,32.60294839033795,0.9996152915292158,488.91715213099997,0.01517774795197296,488.9064198425,488.92788441949995,32.57564349309274,445.7663479528904
DDR5-4800,100,60,32.54527498997983,0.003002572429660346,32.543151850653814,32.54739812930585,0.9996179434542067,382.61096934650004,0.01907357114769466,382.597482295,382.624456398,32.563037529662026,420.8298738352504
DDR5-4800,100,65,32.54531007846643,0.0002939687903309947,32.54510221114133,32.545517945791524,0.9996171970382239,379.9724627615,0.08626736813021023,379.91146252050004,380.0334630025,32.6183451309365,415.22671851280296
DDR5-4800,100,70,32.536459543323346,0.0011401621653077609,32.53565332692461,32.53726575972209,0.9996105782772697,377.15068561224996,0.045650201792465275,377.118406045,377.18296517949994,32.61713279507081,390.4408973800657
DDR5-4800,100,80,32.533995707594244,0.0008073193399495368,32.53342484661438,32.5345665685741,0.9996086621844904,371.94997937075004,0.012727543405702205,371.9409796385,371.95897910300005,32.54527205625973,357.3112398035382
DDR5-4800,100,90,32.54379284524756,0.001052584760149294,32.543048555425884,32.544537135069234,0.9996177083069306,366.11918850525,0.05415134710736395,366.08089772050005,366.15747929,32.40973251510358,322.6029280993166
DDR5-4800,100,100,32.5451921232017,0.0018719566439503958,32.54386844996468,32.546515796438726,0.9996152570822229,360.158941435,0.02398930607271906,360.141978434,360.175904436,32.27744221743631,292.3926993205793
DDR5-4800,100,120,31.76546257252695,0.0026691185392946283,31.763575220708024,31.767349924345876,0.9996032365809783,181.1454771035,0.06080373310498195,181.1024823715,181.1884718355,32.001984890078504,250.84806583056343
DDR5-4800,100,140,31.462685092692,1.8002696760431413e-05,31.46267236286304,31.462697822520955,0.9996067806962528,176.14023729599998,0.013780319690392156,176.1304931385,176.14998145349998,31.64999498857901,211.40619372387158
DDR5-4800,100,160,31.230279506798304,0.002802682249903157,31.228297711173884,31.23226130242272,0.9995958412300607,172.46148330575,0.016255615920852156,172.44998884950002,172.472977762,31.18238504475986,178.33947630997866
DDR5-4800,100,180,30.90971623858907,0.0011338863293147159,30.908914459876517,30.910518017301623,0.9995953046116927,168.64248880875,0.045960951888328,168.60998950799998,168.67498810950002,30.6124213932586,155.62606127771403
DDR5-4800,100,200,29.790268706033594,0.001428215853187552,29.789258804918806,29.791278607148378,0.9995839289254242,159.7947150105,0.0675665009460497,159.7469382795,159.8424917415,29.954960415097766,147.27201290466266
DDR5-4800,100,220,29.338334627471916,0.0025907539720205074,29.336502687769915,29.34016656717392,0.9995760045863767,157.191475982,0.03181784222496963,157.16897737,157.213974594,29.313092307685576,157.4361680090326
DDR5-4800,100,260,28.349979791345852,0.0006067685953371204,28.34955074115748,28.35040884153423,0.999563364195418,152.73798732849997,0.03888818878792253,152.7104892265,152.76548543049998,28.532301665296654,153.27403622580647
DDR5-4800,100,300,27.46039297880526,8.50043509729131e-05,27.46033287165226,27.460453085958264,0.9995467705110682,149.19423937225002,0.011669031424290311,149.185988121,149.2024906235,27.485733603416396,149.03763553954133
DDR5-4800,100,340,26.46626571097994,0.0003611289283109035,26.466010354265848,26.46652106769403,0.9995318304987066,145.82695462975,0.009917219628729964,145.8199420965,145.83396716299998,26.344636671952205,145.25258632124584
DDR5-4800,100,380,25.489003731759542,0.000945729831974703,25.488334999782182,25.489672463736902,0.9995082859554485,142.84998842675,0.05516519256759386,142.810980745,142.8889961085,25.105481813970204,142.0200957314743
DDR5-4800,100,450,23.743614667204223,0.004125481672519697,23.740697511137924,23.746531823270523,0.9994774799955738,138.54924034525,0.0038895387842026894,138.54649002600001,138.5519906645,23.64371120221056,138.4561677602668
DDR5-4800,100,550,21.6454678789785,0.004530318816091728,21.642264459822705,21.648671298134296,0.9994295678226126,134.08698874625,0.07070963124705873,134.0369894865,134.136988006,22.098955064275767,135.27344204188975
DDR5-4800,100,600,20.678991429617977,0.006371912802809149,20.67448580686598,20.683497052369972,0.9994026181591769,132.40399336125,0.03040688100023141,132.3824924495,132.425494273,20.74282113242506,132.52108927666072
DDR5-4800,100,700,18.90602011812871,0.0028973126217420133,18.903971408726658,18.908068827530762,0.9993344881800093,129.741236142,0.029341977834220465,129.7204882305,129.76198405350002,19.20613639633493,129.97786344715547
DDR5-4800,100,800,17.311895497321572,0.000648677908276663,17.311436812773824,17.31235418186932,0.9992872390804839,127.69624550949999,0.042780229669482785,127.66599531899999,127.7264957,17.53182631201835,127.63670512984893
DDR5-4800,100,900,16.03463791417358,0.0024607830979246274,16.032897877758007,16.03637795058915,0.9992336975471813,125.88899439725,0.03040247784630993,125.86749659899999,125.9104921955,15.7113248796975,125.50144906590022
DDR5-4800,100,1000,14.940154865105558,0.006493984095228682,14.935562924914905,14.944746805296212,0.9991797333961316,124.5139959795,0.058689771621707534,124.472496044,124.555495915,13.756400577239578,123.61328823705695
DDR5-4800,100,1500,10.889973191772436,0.0032911496456136152,10.887645997540123,10.892300386004749,0.9988622488974184,120.87524184425001,0.021560057342995962,120.8599965815,120.89048710700001,11.243678920846513,121.28887532445496
DDR5-4800,100,2000,8.641004561509991,0.0008804600192135289,8.640381982259841,8.64162714076014,0.9985624000065481,118.6602389975,0.0038911548767629686,118.6574875355,118.66299045950001,8.5974437468712,118.93927210650159
DDR5-4800,100,3000,6.048845174533919,0.005946713096594482,6.044640213377546,6.053050135690292,0.9979720779174304,116.65899600425,0.004243517853090025,116.655995384,116.6619966245,5.968181723388521,116.57673349771134
DDR5-4800,100,5000,3.7938523019499977,0.008079374274859406,3.7881393216125008,3.799565282287495,0.9967385525494783,115.4989875645,0.0021299647239690542,115.497481452,115.50049367700001,3.4147438187940793,114.35731904294761
DDR5-4800,100,40000,0.5452276426535714,0.0010212815589738691,0.5445054875377201,0.5459497977694225,0.9778911417805826,111.77899199025,0.030407158893191778,111.75749088200001,111.8004930985,1.3386007510109117,112.50626544316263
DDR5-4800,100,100000,0.26437565360785786,0.0007169548630205272,0.26386868996241136,0.2648826172533043,0.9552882431194085,110.97623981000001,0.005304956195852763,110.97248863950001,110.97999098049999,-0.018976445913761353,111.18030449934035
DDR5-4800,100,500000,0.09269656859329291,0.0004185663646235063,0.09240059747849103,0.09299253970809479,0.8706692638395177,110.676240242,0.008128116082203212,110.670492796,110.68198768799999,-0.4167167379327026,110.53616801246505
DDR5-4800,100,1000000,0.06864473807247305,0.000427254083808501,0.06834262381252242,0.06894685233242369,0.8231454572803967,110.75949410550001,0.004242888881592545,110.75649393,110.762494281,0.38665090900133237,110.73058778352097
