type,rd_percentage,pause,bandwidth_mean,bandwidth_std,bandwidth_min,bandwidth_max,rd_mapped_mean,latency_mean,latency_std,latency_min,latency_max,bandwidth_smooth,latency_smooth
DDR5-4800,100,0,33.03008123828648,0.001139710234901164,33.02927534145079,33.030887135122164,0.9995577210212327,750.8749550136666,1.1629200265997646,750.129923998,752.214982577,33.02135235926923,757.4766974986093
DDR5-4800,100,5,33.033012196144156,0.003224153724705537,33.03073237518183,33.03529201710648,0.9995715422893299,776.2749733684999,1.1190153027060337,775.07498389,777.2899550789999,33.063210047374696,764.3393521825419
DDR5-4800,100,10,33.1181788715472,0.0006499857215807898,33.1177192622358,33.11863848085861,0.9995602133504462,768.2132812813334,0.3386209309427988,767.859924377,768.5349366575,33.0917886165698,767.4686267695663
DDR5-4800,100,15,33.11779534804032,0.001200949999350637,33.11694614815191,33.118644547928724,0.9995607302962565,761.8732935073334,0.6548537902585141,761.3749472339999,762.61498236,33.109390074973305,767.609614621446
DDR5-4800,100,20,33.108881677278575,0.0023008379574971493,33.10725473915642,33.11050861540073,0.9995632912921586,762.9249208948335,0.9544552438766445,761.8298220485001,763.5799584575,33.11831643070395,765.5074090999449
DDR5-4800,100,25,33.11213009924753,0.0004594500824540388,33.11180521897861,33.11245497951645,0.9995595649858997,761.5833002245,0.2579738342899055,761.3849760410001,761.8749490375,33.12086969188061,761.9071035668289
DDR5-4800,100,30,33.11558767940713,0.0013028080890675837,33.11466645497276,33.11650890384149,0.999566774047894,758.1049303656667,0.7225466532987971,757.384880575,758.8299482614999,33.12195258691284,756.9249273433167
DDR5-4800,100,35,33.124327891955986,0.005971574407474255,33.1201053511981,33.128550432713865,0.9995504855496882,754.5633124186667,0.37830140123630324,754.3349808180001,754.9999847465,33.11609747321322,754.938080325838
DDR5-4800,100,40,33.11890976828991,0.0010800762264853746,33.11814603906596,33.11967349751385,0.9995388249768562,751.1332698016666,1.593894226816469,749.9949618625,752.9548973569999,33.1170305098949,752.0382223355263
DDR5-4800,100,45,33.10730176084742,0.0034254041364353083,33.10487963435425,33.1097238873406,0.999559404245808,747.8882463588334,0.44114349792203705,747.514788101,748.374982626,33.118181809936836,748.4195840945026
DDR5-4800,100,50,33.11945032569683,0.00026588787484219415,33.11926231457749,33.119638336816166,0.9995608409067867,746.1282902581667,1.0139558423567445,745.369936541,747.2799832525,33.11582055346678,744.9911896792629
DDR5-4800,100,55,33.12233947755723,0.004027504083535162,33.11949160210851,33.12518735300596,0.9995563557513472,741.3766235846666,0.619919841189929,740.689916055,741.894977881,33.114143434189224,741.4952354998634
DDR5-4800,100,60,33.11253701428767,0.00041933798681662254,33.11224049755358,33.11283353102175,0.9995482374945879,735.809897006,0.33060673132083923,735.559963096,736.1847651239999,33.11509384498503,737.8069768009532
DDR5-4800,100,65,33.11444974707364,0.0007925927827403057,33.11388929934225,33.11501019480504,0.9995525890020676,733.7749509225,1.0159111524603488,733.0199742560001,734.9299887039999,33.11575356175215,736.9578947346486
DDR5-4800,100,70,33.11247559448042,0.003486650429326712,33.11001016031822,33.114941028642626,0.9995551355516792,727.9182914198333,0.5493027071266267,727.299975073,728.3499123855,33.14509367014276,746.0479323452334
DDR5-4800,100,80,33.13127376619558,0.001183337996068598,33.130437019874115,33.13211051251703,0.9995536256598201,720.7116339043332,2.304075706275417,718.8399644269999,723.2849682264999,33.599036662332686,752.2984929840242
DDR5-4800,100,90,33.13968570186995,9.263730596018532e-05,33.13962019740272,33.13975120633719,0.9995587905993406,712.8499313801667,1.4732723429556838,711.7149613245,714.5148742095,33.623203783538294,711.2796005157317
DDR5-4800,100,100,33.13562767903362,0.0045793145032660245,33.13238961469517,33.13886574337206,0.9995629566677753,700.5499576515,0.36479771679077433,700.2799596875,700.9649623455,33.134482169741325,633.8941411148573
DDR5-4800,100,120,33.17321447130067,0.0010212582643677208,33.172492332656596,33.17393660994475,0.9995470034961705,643.8466461325,3.1056596253835647,640.8249767699999,647.0299811594999,32.13573325388223,532.6465833960276
