type,rd_percentage,pause,bandwidth_mean,bandwidth_std,bandwidth_min,bandwidth_max,rd_mapped_mean,latency_mean,latency_std,latency_min,latency_max,bandwidth_smooth,latency_smooth
DDR5-4800,100,0,33.14189564613115,0.0076908433843317645,33.13645739862104,33.147333893641246,0.9996016649930737,843.252430729,0.15907165295638137,843.1399500845,843.3649113735,33.14959775159984,840.1402301461128
DDR5-4800,100,5,33.13677058544077,0.004112505013727538,33.133862605257896,33.13967856562364,0.9996056377631253,824.09742201925,0.4348238108169403,823.7899551539999,824.4048888845,33.116350111759104,833.1722418014639
DDR5-4800,100,10,33.06472928420292,0.005708151667912989,33.060693011450496,33.06876555695534,0.9996033774017747,845.6524387085001,2.414794440430522,843.9449211845,847.3599562325,33.07324268743207,839.0926082458211
DDR5-4800,100,15,33.014038100035485,0.002612561206101389,33.012190740290386,33.015885459780584,0.9995842672134103,855.08742722125,0.8167084019205283,854.509927172,855.6649272705,33.03014711456127,852.8225629075603
DDR5-4800,100,20,33.007669337255415,0.0018983615234770376,33.00632699294902,33.00901168156181,0.9996045958431469,867.19495257675,0.021173653892715267,867.1799805425,867.209924611,32.99865249671623,870.0138596281079
DDR5-4800,100,25,32.98850037152329,0.002678537606237166,32.98660635941825,32.99039438362832,0.9995989345664581,881.2399244952501,0.04953998558914898,881.2048944355,881.274954555,32.99502904144539,879.3965681430363
DDR5-4800,100,30,32.9957953009211,0.00489334132728751,32.99233518608592,32.99925541575629,0.9996023523288047,891.4648476435,0.551686143279991,891.0747466305,891.8549486564999,32.994030747641744,888.7567942077626
DDR5-4800,100,35,33.00262317179539,0.0014564584600220893,33.00159330014179,33.003653043448985,0.999606204404895,890.59737058175,0.36413925392976615,890.3398852460001,890.8548559175,32.992878796355946,894.401070175215
DDR5-4800,100,40,32.98260290322813,0.00203026031244743,32.98116729239362,32.98403851406263,0.9996031546686965,899.52992888825,0.13438087680417649,899.4349072589999,899.6249505175,32.99139123360166,897.4976331365722
DDR5-4800,100,45,32.99270159363165,0.0005931320265552004,32.992282185953535,32.99312100130977,0.9995984704113621,898.692407778,0.03177963088163734,898.6699361855,898.7148793705001,32.98836928032272,899.1650469524055
DDR5-4800,100,50,32.983281962471395,0.0009707321895342939,32.98259555115746,32.98396837378533,0.999599761228936,901.56743562475,0.13082977099271448,901.4749250064999,901.659946243,32.98902104528013,901.3864775337507
DDR5-4800,100,55,32.99559202832786,0.0018136941490523378,32.99430955289607,32.996874503759656,0.9996060137452033,900.80743866125,0.22274363072258516,900.6499351295,900.9649421930001,32.99121467308966,901.6517081828817
DDR5-4800,100,60,32.99576023068485,0.0015144828518859797,32.99468932959029,32.99683113177941,0.9996011861538259,903.1248939827499,0.15550818020078236,903.014933094,903.2348548714999,32.993584140445975,902.5946757762864
DDR5-4800,100,65,32.986568288161415,0.0018022785828509151,32.985293884753894,32.987842691568936,0.9996014679349801,902.81241362475,0.10966667385070702,902.734867576,902.8899596735,32.99442647264676,902.8533562859293
DDR5-4800,100,70,33.000246530636545,0.002072642643847318,32.998780950968104,33.001712110304986,0.9995988007916305,902.2873914325,0.6753223016736194,901.8098664535,902.7649164114999,32.99019529511108,902.7784835872983
DDR5-4800,100,80,32.981599428212675,0.003038729956963414,32.97945072165391,32.98374813477144,0.9996004715262733,901.6424229545,0.08136300418938312,901.5848906225,901.6999552865,32.98499649511015,902.1085968389293
DDR5-4800,100,90,32.98203655207787,0.002307551057374237,32.98040486707727,32.983668237078476,0.9995942466002269,898.2274197289998,0.081348314753066,898.1698977839999,898.2849416739999,32.98381910301228,897.6480978892031
DDR5-4800,100,100,32.97941855350041,0.0006615076933877633,32.97895079692461,32.97988631007621,0.9995990923260994,893.41733399125,0.38551276271538404,893.1447353025,893.68993268,32.97356928060268,898.257147333072
DDR5-4800,100,120,32.99320408003913,0.0011356915241875407,32.99240102486104,32.99400713521722,0.9995948379769481,876.3723744577501,0.010495925010794218,876.364952718,876.3797961975,32.99089810842225,878.4883376468101
DDR5-4800,100,140,32.993688923635276,0.0004005704565176263,32.99340567754913,32.99397216972142,0.9996068407978618,868.84744726275,0.05304997314138477,868.809935267,868.8849592585001,33.03545022922938,828.2210962719889
DDR5-4800,100,160,33.09389538440993,0.0037368257026135303,33.0912530496155,33.09653771920436,0.9995915429517402,772.5074184257501,0.10256210756218272,772.434896064,772.5799407875,33.06662597199421,796.9867214437863
DDR5-4800,100,180,33.12340504962967,0.001538331364447311,33.122317285090155,33.12449281416918,0.9996038349872123,734.42994335025,0.19091711017603266,734.294944567,734.5649421335,33.085506936281206,801.6595834025006
DDR5-4800,100,200,33.03918107177972,0.003691956910957037,33.03657046401214,33.04179167954731,0.999597947563031,834.8274294975,0.14490431321852923,834.724966675,834.92989232,33.10109314407187,806.025044714334
DDR5-4800,100,220,33.049502233518496,0.002739785938379728,33.04756491230247,33.05143955473453,0.9995937038261631,818.6299331109999,0.16969150019839577,818.5099431005,818.7499231214999,33.307788512302885,753.5118357990718
DDR5-4800,100,260,33.00490686701198,0.0009902648226452237,33.00420664404072,33.00560708998325,0.999591451846855,629.92741587225,0.07428386864269101,629.874889245,629.9799424995,33.04371324012055,606.8838291809527
