1170.948825215041	11927.099631730835
1172.2298249961796	11266.600471195381
1172.8483257908392	11180.956149251953
1172.9461877089807	11551.873479319176
1172.6652708605639	12261.059274815678
1172.1474353555539	13190.22034916013
1171.56421490102	14150.159034375918
1170.676956015584	14982.128870319928
1171.2152455885564	15851.689480811656
1171.0848325381644	16621.873454547276
1171.1095879730042	17231.400966278165
1170.825893825401	17694.18499758008
1171.20793008154	18130.548586814508
1171.3316843839007	18947.2254078427
1171.295879148891	19077.70005896496
1171.1828943862133	18426.16027310114
1171.0123087453605	17228.59282513179
1170.8398964996393	15607.764369825352
1170.9460099369826	14031.85057751889
1170.7351222945142	12528.158173922733
1170.7701887370704	11268.741565143146
1170.6052752950845	10464.350679253026
1170.7067515737951	10249.171581647639
1170.6923825893293	10850.696552971249
1169.745781580939	10771.703046576378
1170.625156305803	10648.374282529734
1171.6292130199133	10613.41374711393
1172.396421385301	10589.647078195794
1172.856433227438	10561.285923679987
1172.8952633729878	10523.226790983581
1172.9009319643235	10482.873379697006
1172.5059026538215	10440.422972301016
1171.881436811335	10360.296183922997
1171.327952247449	10319.520555430247
1227.1048563434	10602.661529431582
1237.160297366502	9985.866876146172
1175.0071885354978	8735.628544679434
1035.9375838681144	7051.464918838589
853.4510565999708	4956.377719677816
638.5832500622748	2916.2887464989335
402.32153488637647	1185.6468525740838
155.6532817036278	18.900891175408105
-90.4341388546186	-329.50028442494477
